,track_id,title,artist,artist_id,album,album_id,album_releasedate,popularity,time_added,full_time_added,year_added,month_added,dayofweek_added,hour_added
76,5Fw17rh1qEC6YoT32BijNI,Take a Byte,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,47,2020-05-12T03:26:53Z,2020-05-12 03:26:53,2020,5,1,3
77,06EAtSDu3KSoi4fbA3ZjoB,"Crazy, Classic, Life",Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,50,2020-05-12T03:26:51Z,2020-05-12 03:26:51,2020,5,1,3
78,5gW5dSy3vXJxgzma4rQuzH,Make Me Feel,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,Dirty Computer,2PjlaxlMunGOUvcRzlTbtE,2018-04-27,66,2020-05-12T03:26:40Z,2020-05-12 03:26:40,2020,5,1,3
79,78AaMLOriBZuohWdUV3IzE,Bizness,Tune-Yards,0asVlqTLu3TimnYVyY5Jxi,W H O K I L L,7rBLvpL7ZWi1YCSXSLUZKF,2011-04-18,45,2020-05-11T02:56:25Z,2020-05-11 02:56:25,2020,5,0,2
80,68s9Rkn9dyuonMXZXkKvWo,"Dance, Dance, Dance",Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Youth Novels,65ain97ltDAxldCiOcBtHo,2008-06-02,48,2020-05-11T02:51:48Z,2020-05-11 02:51:48,2020,5,0,2
81,3f9t3zPswqwvzuc9BZsebP,Miss Yer Kiss,SWMRS,7dLkuQHF2ijbK6jiLFyIWM,Drive North,3KbuvIJRqejRJ4gtO9xwC3,2016-10-14,46,2020-05-09T19:53:18Z,2020-05-09 19:53:18,2020,5,5,19
82,4xmeLj3uVcoAwgDtwM4MbG,Heavy Metal Drummer,Wilco,2QoU3awHVdcHS8LrZEKvSM,Yankee Hotel Foxtrot,0rPtXOMN42nsLDiShvGamv,2002-04-16,54,2020-05-09T19:36:54Z,2020-05-09 19:36:54,2020,5,5,19
83,3HWzoMvoF3TQfYg4UPszDq,Truth Hurts,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You (Super Deluxe),2KJjOBX280F3hZZE1xO33O,2019-04-19,80,2020-05-08T02:04:15Z,2020-05-08 02:04:15,2020,5,4,2
84,4QXKHFFKs9lhUuY18XIuEF,Ocean Breathes Salty,Pickin' On Series,6AEIKVwB27miPI3uJxM4Dw,Pickin' on Modest Mouse,3hewWfO0hKXbAFfcsmpYk5,2007-04-24,39,2020-05-07T23:48:09Z,2020-05-07 23:48:09,2020,5,3,23
85,3vHZogGuw36HLk1BeGLhZq,Blues Run The Game,Laura Marling,7B2edU3Q7btJoNsoHCNohM,Blues Run The Game,25Dqil85sRtH67ADs2GmrM,2010,45,2020-05-07T23:43:40Z,2020-05-07 23:43:40,2020,5,3,23
